x	y	class
-40	40	0
-40	47	0
-40	53	0
-37	13	0
-35	45	0
-35	48	0
-35	10	0
-34	13	0
-34	56	0
-33	37	0
-30	48	0
-27	52	0
-27	57	0
-26	42	0
-21	38	0
-20	47	0
-16	42	0
-16	55	0
-15	50	0
-14	37	0
-13	39	0
-11	37	0
-9	39	0
-7	37	0
-5	39	0
-4	37	0
-2	37	0
0	37	0
2	37	0
4	33	0
4	37	0
4	38	0
5	35	0
6	38	0
7	37	0
7	33	0
9	35	0
9	37	0
10	33	0
10	38	0
11	14	0
11	16	0
11	37	0
12	35	0
13	13	0
13	16	0
13	18	0
13	31	0
13	33	0
14	35	0
14	37	0
15	11	0
15	15	0
15	17	0
15	19	0
16	13	0
16	33	0
16	35	0
17	17	0
17	20	0
17	22	0
17	31	0
17	37	0
18	15	0
18	35	0
19	11	0
19	19	0
19	33	0
20	9	0
20	14	0
20	17	0
20	20	0
20	22	0
20	31	0
20	35	0
20	37	0
20	57	0
20	59	0
20	60	0
21	58	0
21	60	0
22	11	0
22	14	0
22	17	0
22	24	0
22	33	0
22	37	0
22	57	0
22	59	0
22	60	0
23	19	0
23	35	0
23	58	0
23	59	0
25	16	0
25	31	0
26	35	0
27	58	0
27	59	0
27	60	0
28	31	0
28	58	0
28	59	0
29	58	0
29	59	0
29	60	0
30	31	0
31	60	0
31	57	0
31	58	0
31	59	0
42	17	0
